Load,REHourlyCF
631.4291836,0.349256816
671.0163893,0.353413224
678.7048514,0.359755133
682.6825268,0.370287334
686.1739686,0.420898371
685.5161308,0.457396824
682.7757372,0.457837313
682.2651588,0.439907159
681.1048521,0.425450089
682.4863481,0.4109309
694.7460094,0.384580632
724.4661108,0.343632113
751.5969638,0.275023154
752.3382872,0.232013373
745.0218758,0.23120581
726.0106979,0.227376945
694.3063101,0.219984639
665.2366957,0.21854458
644.833582,0.205267795
635.7692776,0.197197813
632.0870924,0.19000881
633.5587212,0.186473605
644.1103549,0.185812871
673.3293572,0.185767693
724.6084095,0.182509205
757.4139197,0.178268088
762.0645715,0.175444442
761.5262373,0.182288961
758.4527582,0.194611353
751.5946225,0.204239987
743.9104881,0.21641555
737.4163262,0.220238768
731.2018559,0.230206239
726.916886,0.230511193
735.6338232,0.227376945
763.405067,0.223000294
788.4291121,0.204211751
783.8135507,0.191398044
775.2086954,0.206233482
760.4566253,0.224542005
736.9196585,0.235091147
709.345248,0.25598613
688.1442625,0.265643001
677.5983589,0.267540491
671.4263354,0.261853667
670.224384,0.264739434
673.3815398,0.268031806
685.3859035,0.265078271
703.603739,0.26130588
721.8070854,0.263237254
730.0074519,0.27738937
731.7147645,0.295788249
729.6104397,0.310821342
722.1197061,0.343406221
711.4799591,0.358704737
700.8457948,0.357998825
692.5643056,0.35759222
691.2890412,0.348658203
